lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_norm_mean,ln_y_norm_mean_std,size
lea,M1_10,av,0,-0.9190283152648732,-0.4578959311743036,208
lea,M1_10,av,1,-1.2870462804524707,-0.9867918087715327,20
lea,M1_10,av,2,-1.0720904865428604,-0.6778687560437148,272
lea,M1_10,bp_a,0,0.2935909495664959,1.284816085445225,19
lea,M1_10,bp_a,1,0.23489248667003534,1.2004577714933329,124
lea,M1_10,bp_a,2,0.039133143799811594,0.9191228388564816,88
lea,M1_10,bp_a,3,-0.07929706273612405,0.7489212347366518,210
lea,M1_10,bp_a,4,-0.18640366833798308,0.5949933085894079,82
lea,M1_10,bp_a,5,-0.08595376843312878,0.7393545707839041,34
lea,M1_10,bp_v,0,0.006090978031156148,0.8716363927722046,25
lea,M1_10,bp_v,1,-0.8738777243299146,-0.3930078994055133,204
lea,M1_10,pa,0,0.35889926548414514,1.3786737291720872,137
lea,M1_10,pa,1,0.209949444506014,1.1646109557854096,17
lea,M1_10,pa,2,0.10410890935441768,1.0125025588601977,70
lea,M1_10,pa,3,0.0150368399000333,0.8844929104196286,228
lea,M1_10,pa,4,-0.07532412766929686,0.7546309260495073,65
lea,M1_10,pa,5,0.05923832325217952,0.9480169351685718,230
lea,M1_10,pa,6,0.07561894093155452,0.9715582890769372,199
lea,M1_10,pa,7,0.11304934079734513,1.0253512721878055,87
lea,M1_10,pa,8,0.16590687954895675,1.101315320115228,50
lea,M1_10,pa,9,-0.13681359234265314,0.6662615325476964,104
lea,M1_10,pa,10,0.08621023039361701,0.9867795278881141,129
lea,M1_10,pa,11,-0.1206171311804073,0.6895382264884631,36
lea,M1_10,pa,12,-0.38682555018575043,0.3069576225175926,200
lea,M1_10,pea,0,-0.4674665314149953,0.19106468637845092,338
lea,M1_10,pea,1,-0.20665129225917359,0.5658944986506109,248
lea,M1_10,pea,2,-0.24555244300690177,0.5099878304699588,39
lea,M1_10,pea,3,-0.052200033997322516,0.7878636455718954,523
lea,M1_10,pea,4,-0.1735875285137913,0.6134119842001743,72
lea,M1_10,pea,5,-0.22856035320534512,0.5344079596427943,93
lea,M1_10,pea,6,-0.1819498502812926,0.6013940994001252,83
lea,M1_10,pea,7,-0.5267422947249842,0.10587670692722716,408
lea,M1_10,pv,0,0.003769435355550227,0.8682999949141053,35
lea,M1_10,pv,1,-0.6116186085849595,-0.016103024370146855,568
lea,M1_10,pv,2,-0.6025107301098227,-0.0030136650593836525,44
lea,M1_10,pv,3,-0.842719613466087,-0.34822911698603154,88
lea,M1_10,pv,4,-0.583832489701364,0.023829710230102615,496
lea,M1_10,pv,5,-0.4084698420612357,0.275851595558773,262
lea,M4,av,0,-0.8251535427250134,-0.3229840928856476,59
lea,M4,av,1,-0.5597020693920493,0.05850866895914008,23
lea,M4,av,2,-0.5312490707982935,0.099399807667127,1184
lea,M4,av,3,-1.1076807937282411,-0.7290172556643014,573
lea,M4,av,4,-1.087331886059735,-0.699772886102089,139
lea,M4,av,5,-0.9155983966584609,-0.452966634283863,194
lea,M4,av,6,-0.790080780940278,-0.2725793820329033,249
lea,M4,av,7,-0.9412181503998314,-0.4897859839369698,326
lea,M4,av,8,-0.9696507376617232,-0.5306477885626556,221
lea,M4,av,9,-1.2007830756122428,-0.8628189114020663,84
lea,M4,av,10,-1.141791247384736,-0.7780389883742661,199
lea,M4,bp_a,0,-0.32162182949834717,0.4006649475336132,548
lea,M4,bp_a,1,-0.02955773020660131,0.8204039622602723,13
lea,M4,bp_a,2,0.20049360559662008,1.151021526215436,39
lea,M4,bp_v,0,0.1950316326764369,1.1431718687685228,268
lea,M4,bp_v,1,-0.38653151142230235,0.30738019941478895,184
lea,M4,bp_v,2,-0.49395905465653894,0.15299103874426898,157
lea,M4,bp_v,3,-0.4925352668971043,0.15503723090816107,279
lea,M4,bp_v,4,-0.5411330270752451,0.0851951105497833,345
lea,M4,bp_v,5,-0.7191632440146148,-0.17066046372625818,84
lea,M4,bp_v,6,-0.8065392493356832,-0.2962326188564285,774
lea,M4,bp_v,7,-0.487224947591745,0.1626689398327453,339
