"",mouse,image,profile,vessel_type,vessel,region_in_vessel,repetition,i_max,width,depth,rbc_flow,y_bin_width,treatment,ln_i_max,ln_width,ln_i_max_stnd
1361,E-20230504,10.0,0,c,E-20230504-1,1,1,49.63433456420898,0.5090392493420399,,yes,2.0,E,3.904682823367933,-0.6752301547128604,-1.99573290247618
1701,E-20230527,9.0,2,c,E-20230527-3,1,1,105.17861938476562,0.8055342740867921,49.4,yes,1.2,E,4.655660041860613,-0.21624952719362406,-0.7517777652593934
1700,E-20230527,9.0,1,c,E-20230527-3,1,1,140.10946655273438,0.6397733092662268,49.4,yes,1.7,E,4.942424021029767,-0.44664136964509,-0.2767679829757324
1699,E-20230527,9.0,0,c,E-20230527-3,1,1,162.12449645996094,0.5911818856913502,49.4,yes,0.8,E,5.088364536756448,-0.525631549717167,-0.03502502487288153
1698,E-20230527,8.0,4,c,E-20230527-2,1,1,106.46058654785156,0.7686086404833148,79.6,yes,1.0999999999999996,E,4.667774837290317,-0.26317335906795913,-0.7317102297336704
1697,E-20230527,8.0,3,c,E-20230527-2,1,1,88.77095794677734,0.6239262929499159,79.6,yes,1.0999999999999996,E,4.486059546356657,-0.4717230378620289,-1.032712262953101
1696,E-20230527,8.0,2,c,E-20230527-2,1,1,67.90123748779297,0.5371786716027742,79.6,yes,1.1,E,4.218054259550165,-0.6214245180200176,-1.4766492361589583
1695,E-20230527,8.0,1,c,E-20230527-2,1,1,60.92021560668945,0.5912082020856531,79.6,yes,0.8,E,4.109565067198135,-0.5255870358218303,-1.656356003335842
1694,E-20230527,8.0,0,c,E-20230527-2,1,1,89.62373352050781,0.5534512349160465,79.6,yes,0.9,E,4.495620167946948,-0.5915816338474618,-1.016875585022845
1687,E-20230526,5.0,3,c,E-20230526-4,1,1,26.65132522583008,0.6830250406295075,63.8,yes,0.8999999999999995,E,3.282838876423538,-0.3812237573754903,-3.0257854171200496
1686,E-20230526,5.0,2,c,E-20230526-4,1,1,35.8446159362793,0.617208486468094,63.8,yes,0.8999999999999995,E,3.5791933726785765,-0.48254840863935566,-2.5348894365553054
1685,E-20230526,5.0,1,c,E-20230526-4,1,1,27.063594818115234,0.3963992265708391,63.8,yes,0.7999999999999989,E,3.2981894601172694,-0.9253334276613078,-3.000357964762146
1684,E-20230526,5.0,0,c,E-20230526-4,1,1,41.04402923583984,0.3980853180596249,63.8,yes,0.6999999999999993,E,3.7146453743045487,-0.921088929687036,-2.310520162601668
1683,E-20230526,4.0,7,c,E-20230526-1,1,1,28.55192756652832,0.6062764923792958,52.8,no,3.0,E,3.3517244492880427,-0.500419138915235,-2.9116800086804764
1682,E-20230526,4.0,6,c,E-20230526-1,1,1,35.01054763793945,0.5065188334686486,52.8,no,2.0,E,3.5556493771732676,-0.6801937724335577,-2.5738888541651
1681,E-20230526,4.0,5,c,E-20230526-1,1,1,33.46086883544922,0.4815124991088115,52.8,no,2.0,E,3.510376661612747,-0.7308230893917573,-2.6488807789671607
1680,E-20230526,4.0,4,c,E-20230526-1,1,1,27.693849563598636,0.5587831254930009,52.8,no,2.5,E,3.3212103511241247,-0.5819938498129852,-2.9622250428490635
1679,E-20230526,4.0,3,c,E-20230526-1,1,1,22.6242790222168,0.5267926124075082,52.8,no,2.0,E,3.1190236226568877,-0.6409483327354338,-3.297136959429828
1678,E-20230526,4.0,2,c,E-20230526-1,1,1,27.83314323425293,0.4477078819017954,52.8,no,2.0,E,3.3262275132582957,-0.803614308570119,-2.9539143718228793
1677,E-20230526,4.0,1,c,E-20230526-1,1,1,25.229820251464844,0.545074517209688,52.8,no,2.5,E,3.2280266382306335,-0.6068327648403112,-3.116579070513782
1676,E-20230526,4.0,0,c,E-20230526-1,1,1,28.62530899047852,0.5102078296940817,52.8,no,1.5,E,3.3542912562433416,-0.6729371270690089,-2.9074282249783066
1611,E-20230523,16.0,2,c,E-20230523-3,1,1,50.9164924621582,0.3925042299011281,30.9,yes,0.9000000000000001,E,3.9301868880126003,-0.9352079649995827,-1.9534867311498099
1610,E-20230523,16.0,1,c,E-20230523-3,1,1,85.58431243896484,0.511184507399264,30.9,yes,0.6000000000000001,E,4.449502000452506,-0.6710246827175262,-1.0932679574690856
1609,E-20230523,16.0,0,c,E-20230523-3,1,1,86.02790832519531,0.5053737870255066,30.9,yes,0.5000000000000002,E,4.454671759019019,-0.6824569511714846,-1.084704518301262
1608,E-20230523,15.0,6,c,E-20230523-2,1,1,85.74779510498047,0.526986133804968,18.2,no,0.6999999999999993,E,4.451410372654011,-0.6405810423524557,-1.0901068370711218
1607,E-20230523,15.0,5,c,E-20230523-2,1,1,72.98921203613281,0.5922571160998391,18.2,no,1.4000000000000004,E,4.290311649900855,-0.5238144206505648,-1.3569585854771284
1606,E-20230523,15.0,4,c,E-20230523-2,1,1,76.79887390136719,0.5736296506989564,18.2,no,0.8000000000000007,E,4.341189977303513,-0.5557712987402645,-1.2726812529735316
1605,E-20230523,15.0,3,c,E-20230523-2,1,1,79.7108154296875,0.7277080976056407,18.2,no,1.1999999999999993,E,4.378405278342186,-0.31785527602075864,-1.2110360209077102
