lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_std_mean,size
lea,M1_10,av,0,0.38792570429021667,129
lea,M1_10,av,1,0.21044361268232378,87
lea,M1_10,av,2,0.3141092146777735,93
lea,M1_10,bp_a,0,0.9727292296740647,212
lea,M1_10,bp_a,1,0.9444210301987435,166
lea,M1_10,bp_a,2,0.8500131998454529,400
lea,M1_10,bp_a,3,0.7928984860166369,147
lea,M1_10,bp_a,4,0.7412447457500457,791
lea,M1_10,bp_a,5,0.7896881915145184,200
lea,M1_10,bp_v,0,0.8340781280646871,147
lea,M1_10,bp_v,1,0.40970024269456856,57
lea,M1_10,pa,0,1.0042251282575616,29
lea,M1_10,pa,1,0.9323918802302695,137
lea,M1_10,pa,2,0.8813487211115875,24
lea,M1_10,pa,3,0.83839240189345,222
lea,M1_10,pa,4,0.7948144925494249,50
lea,M1_10,pa,5,0.8597092191676052,76
lea,M1_10,pa,6,0.8676090136411789,40
lea,M1_10,pa,7,0.8856603760373424,230
lea,M1_10,pa,8,0.911151703696033,425
lea,M1_10,pa,9,0.7651602913027178,38
lea,M1_10,pa,10,0.8727168191951639,129
lea,M1_10,pa,11,0.772971273579782,287
lea,M1_10,pa,12,0.6445883372070575,104
lea,M1_10,pe,0,0.6056980346355955,60
lea,M1_10,pe,1,0.7314800304818906,28
lea,M1_10,pe,2,0.7127193767808095,1184
lea,M1_10,pe,3,0.8059664277799432,88
lea,M1_10,pe,4,0.7474255182054808,210
lea,M1_10,pe,5,0.7209140627039062,184
lea,M1_10,pe,6,0.7433926651972375,168
lea,M1_10,pe,7,0.5771114235212491,72
lea,M1_10,pv,0,0.832958529868948,78
lea,M1_10,pv,1,0.5361785693217056,568
lea,M1_10,pv,2,0.5405709780484199,50
lea,M1_10,pv,3,0.42472670120955935,170
lea,M1_10,pv,4,0.5495788349707262,249
lea,M1_10,pv,5,0.6341500582184908,573
lea,M4,av,0,0.3584239552410074,1559
lea,M4,av,1,0.48644184339903646,39
lea,M4,av,2,0.5001637216240902,82
lea,M4,av,3,0.22217102145088546,95
lea,M4,av,4,0.2319845823000177,68
lea,M4,av,5,0.31480559046064677,35
lea,M4,av,6,0.37533831189978395,279
lea,M4,av,7,0.302450086353178,164
lea,M4,av,8,0.2887380517939627,399
lea,M4,av,9,0.1772710728469712,194
lea,M4,av,10,0.20572075208003418,117
