lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_norm_mean,ln_y_norm_mean_std,size
lea,M1_10,av,0,-0.9190283152648805,-0.505630262072568,27
lea,M1_10,av,1,-1.287046280452477,-1.0354589700623695,195
lea,M1_10,av,2,-1.0720904865428684,-0.7259910599727226,65
lea,M1_10,bp_a,0,0.29359094956648885,1.240155430866754,248
lea,M1_10,bp_a,1,0.2348924866700283,1.155648331487609,39
lea,M1_10,bp_a,2,0.03913314379980449,0.8738171995291657,28
lea,M1_10,bp_a,3,-0.07929706273613116,0.703315405455296,184
lea,M1_10,bp_a,4,-0.18640366833799019,0.5491159917547205,25
lea,M1_10,bp_a,5,-0.08595376843313589,0.6937318684746637,424
lea,M1_10,bp_v,0,0.006090978031149043,0.8262470000975495,283
lea,M1_10,bp_v,1,-0.873877724329922,-0.44062778522921364,550
lea,M1_10,pa,0,0.35889926548413814,1.3341786142893337,338
lea,M1_10,pa,1,0.20994944450600694,1.1197382916166967,56
lea,M1_10,pa,2,0.10410890935441057,0.9673616162994084,51
lea,M1_10,pa,3,0.015036839900026194,0.839126193191904,42
lea,M1_10,pa,4,-0.07532412766930385,0.7090351671313638,93
lea,M1_10,pa,5,0.05923832325217236,0.9027622572730756,69
lea,M1_10,pa,6,0.07561894093154742,0.9263451318121327,106
lea,M1_10,pa,7,0.11304934079733822,0.9802329913092211,44
lea,M1_10,pa,8,0.16590687954894964,1.0563310194313305,45
lea,M1_10,pa,9,-0.13681359234266016,0.6205099137343948,29
lea,M1_10,pa,10,0.08621023039360991,0.9415932168037718,340
lea,M1_10,pa,11,-0.12061713118041441,0.6438276615166949,17
lea,M1_10,pa,12,-0.38682555018575804,0.26057228803048044,219
lea,M1_10,pea,0,-0.46746653141500183,0.1444749478532404,208
lea,M1_10,pea,1,-0.2066512922591806,0.5199658593242037,425
lea,M1_10,pea,2,-0.24555244300690898,0.4639605867841009,43
lea,M1_10,pea,3,-0.052200033997329746,0.7423265002525931,48
lea,M1_10,pea,4,-0.1735875285137984,0.5675671529663933,64
lea,M1_10,pea,5,-0.22856035320535223,0.488423786511365,49
lea,M1_10,pea,6,-0.18194985028129995,0.5555280718426991,54
lea,M1_10,pea,7,-0.5267422947249915,0.059136719667472505,69
lea,M1_10,pv,0,0.0037694353555431217,0.8229047177289904,435
lea,M1_10,pv,1,-0.6116186085849664,-0.06305815114119602,126
lea,M1_10,pv,2,-0.6025107301098293,-0.04994570571329361,64
lea,M1_10,pv,3,-0.8427196134660934,-0.395770025054462,568
lea,M1_10,pv,4,-0.5838324897013717,-0.023054985913537728,270
lea,M1_10,pv,5,-0.408469842061243,0.2294113983877787,573
lea,M4,av,0,-0.8251535427250115,-0.3704804755063561,86
lea,M4,av,1,-0.5597020693920474,0.011685137192199931,49
lea,M4,av,2,-0.5312490707982916,0.05264839689524369,38
lea,M4,av,3,-1.1076807937282394,-0.7772297718203168,79
lea,M4,av,4,-1.0873318860597336,-0.747933823038272,195
lea,M4,av,5,-0.9155983966584588,-0.5006922712252346,244
lea,M4,av,6,-0.7900807809402766,-0.3199868642703726,186
lea,M4,av,7,-0.9412181503998304,-0.5375765603302202,400
lea,M4,av,8,-0.9696507376617218,-0.5785104342135133,359
lea,M4,av,9,-1.200783075612241,-0.9112674177715354,67
lea,M4,av,10,-1.1417912473847338,-0.8263379657112154,21
lea,M4,bp_a,0,-0.3216218294983453,0.3544448876203663,68
lea,M4,bp_a,1,-0.029557730206599547,0.7749242093270398,246
lea,M4,bp_a,2,0.20049360559662183,1.1061248939398594,23
lea,M4,bp_v,0,0.19503163267643844,1.098261391803759,168
lea,M4,bp_v,1,-0.38653151142230063,0.2609956102399333,287
lea,M4,bp_v,2,-0.493959054656537,0.10633414852216075,28
lea,M4,bp_v,3,-0.49253526689710253,0.10838394961990966,36
lea,M4,bp_v,4,-0.5411330270752434,0.03841864650418449,230
lea,M4,bp_v,5,-0.7191632440146127,-0.2178881883429891,228
lea,M4,bp_v,6,-0.8065392493356812,-0.3436818190560259,25
lea,M4,bp_v,7,-0.4872249475917433,0.1160291188309768,247
lea,M4,bp_v,8,-0.5814537702717556,-0.01963038722194589,22
lea,M4,bp_v,9,-0.5841392824750015,-0.023496669837283164,144
lea,M4,bp_v,10,-0.8103664125020573,-0.34919171560325984,457
lea,M4,bp_v,11,-0.6918550534689886,-0.17857308776915706,72
lea,M4,bp_v,12,-0.5539238015864801,0.020004003267887732,203
lea,M4,bp_v,13,-0.6044109213368652,-0.05268137613699381,61
lea,M4,bp_v,14,-0.7334432873686961,-0.2384469045906473,29
lea,M4,bp_v,15,-1.058850683838938,-0.7069299590911731,617
lea,M4,pa,0,0.22842264287120545,1.1463338161511667,496
lea,M4,pa,1,0.033194289472589185,0.8652671399864905,13
lea,M4,pa,2,-0.09166182184122225,0.6855140887779537,553
lea,M4,pa,3,-0.5167337224140289,0.07354587747485473,194
lea,M4,pa,4,-0.40712641381051123,0.23134550737617923,42
lea,M4,pa,5,0.09754974736111974,0.9579185111981953,190
lea,M4,pa,6,0.03273690069121427,0.8646086457552066,120
lea,M4,pa,7,-0.169271569803202,0.5737807594847788,30
lea,M4,pa,8,-0.09812353510847734,0.67621127881854,117
lea,M4,pa,9,-0.04582808416442331,0.7515000794435538,83
lea,M4,pea,0,-0.34654074444141475,0.31856958326650364,264
lea,M4,pea,1,-0.13424502999208113,0.6242078257939456,68
lea,M4,pea,2,-0.08631464862711437,0.6932123158848404,37
lea,M4,pv,0,-0.20884238440492162,0.5168113841885326,1604
lea,M4,pv,1,-0.8270528444382999,-0.3732148653134445,117
lea,M4,pv,2,-0.7200826344961909,-0.21921181794010505,236
lea,M4,pv,3,-0.49951580968966325,0.09833419031817377,57
lea,M4,pv,4,-0.6846493613029685,-0.16819918504799902,87
lea,M4,pv,5,-0.7403232318310915,-0.2483518343233423,76
lea,M4,pv,6,-0.8161132751874773,-0.35746536830404246,74
lea,M4,pv,7,-0.525760693873857,0.060549912391510106,67
lea,M4,pv,8,-0.9105735262175689,-0.49345805750375044,355
lea,M4,pv,9,-0.43468758662661466,0.19166619287207337,60
lea,M4,pv,10,-0.33587733034194817,0.33392150477446764,84
lea,M4,pv,11,-0.521942992241694,0.06604618734164303,106
lea,M4,pv,12,-0.2052930046841586,0.5219213610089807,408
lea,M4,pv,13,-0.4975893859242193,0.10110762724581322,37
lea,M4,pv,14,-0.30156335343571317,0.3833227073515073,41
lea,M4,pv,15,-0.5722052078989721,-0.0063154017694364625,39
lea,M4,pv,16,-0.452289400490782,0.166325184605874,137
lea,M4,pv,17,-0.5551210092514217,0.018280405372366127,196
lea,M4,pv,18,-0.6418593946055056,-0.10659525558035268,166
lea,M4,pv,19,-1.0694405407516165,-0.7221759816677645,78
lea,M4,pv,20,-0.5453254586634415,0.032382879716064863,339
lea,M4,pv,21,-0.8804692448244213,-0.4501174762705428,221
lea,M4,pv,22,-0.6150284614722339,-0.06796725374105222,47
lea,M4,pv,23,-1.072575561309128,-0.7266894132081542,346
lea,M4,pv,24,-1.0447415125289599,-0.6866172441883507,87
lea,M4,pv,25,-0.7984653837392315,-0.33205802298598974,332
lea,M4,pv,26,-0.876677471943002,-0.4446585304668262,277
lea,M4,pv,27,-1.0610181022876313,-0.7100503516398332,105
lea,M4,pv,28,-0.71816650636928,-0.21645320345424263,1559
lea,M4,pv,29,-0.7862186136218394,-0.3144265728880622,121
lea,M4,pv,30,-0.39734729609653247,0.2454243236128714,388
lea,M4,pv,31,-0.2866417363815748,0.40480508547639776,253
lea,M4,pv,32,-0.7991996524159443,-0.3331151361193168,620
lea,M4,pv,33,-0.5114655857044603,0.08113031717719797,320
lea,M4,pv,34,-0.976356173442178,-0.5881641270006485,170
lea,M4,pv,35,-1.138200551809587,-0.8211685072137344,172
lea,M4,pv,36,-1.005310297450904,-0.6298488477633969,58
lea,M4,pv,37,-0.5086267283415112,0.08521736800367578,51
wga,20230216,av,0,-1.836708361347243,-1.8267973766072985,756
wga,20230216,av,1,-1.930460264055877,-1.961770269733265,102
wga,20230216,av,2,-1.7770056456373424,-1.7408444728898547,31
wga,20230216,av,3,-1.6153377579559656,-1.5080941830772334,45
wga,20230216,av,4,-2.038643413178246,-2.1175195633759127,63
wga,20230216,av,5,-1.9000768524185312,-1.9180278298120743,77
wga,20230216,av,6,-1.8371364168031952,-1.8274136401885057,155
wga,20230216,av,7,-1.7821895948472384,-1.7483077093945287,851
wga,20230216,av,8,-1.771833028352207,-1.733397550749214,108
wga,20230216,av,9,-1.9582597547856428,-2.0017926861623603,31
wga,20230216,av,10,-1.7543544904305837,-1.7082340205942559,16
wga,20230216,av,11,-1.5302677787091254,-1.3856204957666236,204
wga,20230216,av,12,-1.3817907539034868,-1.1718608490633964,268
wga,20230216,av,13,-1.6185207189401971,-1.5126766335698274,60
wga,20230216,av,14,-1.592976712983924,-1.4759013971603845,784
wga,20230216,av,15,-1.5606996849349626,-1.4294327524565467,88
wga,20230216,av,16,-1.6848387553633284,-1.6081534930665564,227
wga,20230216,av,17,-1.6336523662056146,-1.5344613883339238,157
wga,20230216,av,18,-1.879404171167344,-1.8882657501472453,36
wga,20230216,av,19,-1.5391634332143747,-1.3984274062413264,194
wga,20230216,av,20,-1.8105861122629388,-1.7891896541824717,35
wga,20230216,av,21,-1.7474501917063796,-1.698294028477958,617
wga,20230216,av,22,-1.5469773995053075,-1.409677030052736,51
wga,20230216,av,23,-1.428036900017253,-1.2384405765842368,19
wga,20230216,av,24,-1.3945554670366525,-1.1902379722121483,43
wga,20230216,av,25,-1.397938015461478,-1.1951077650787132,216
wga,20230216,bp_a,0,-0.1727989339111057,0.5687024781379768,66
wga,20230216,bp_a,1,0.1637501192996333,1.053225971296638,464
wga,20230216,bp_a,2,0.8005977794264691,1.9700838556103302,471
wga,20230216,bp_v,0,-1.9401283670780625,-1.9756892601563159,456
wga,20230216,bp_v,1,-1.6668313423706784,-1.5822285511815288,521
wga,20230216,bp_v,2,-1.5634737365830562,-1.4334265036851237,143
wga,20230216,bp_v,3,-1.8928619888810034,-1.9076407232357353,642
wga,20230216,bp_v,4,-1.5683548028560472,-1.4404536851862038,238
wga,20230216,bp_v,5,-1.4046990486208601,-1.2048415003915685,121
wga,20230216,bp_v,6,-1.4637617424106422,-1.2898729763008652,50
wga,20230216,bp_v,7,-1.3323537054606642,-1.1006872380416137,147
wga,20230216,bp_v,8,-1.2225315017633667,-0.942578227619062,217
wga,20230216,bp_v,9,-1.2380443585176888,-0.9649118026856587,40
wga,20230216,pa,0,0.02947254177916584,0.8599090081603299,105
wga,20230216,pa,1,-0.19278094644820645,0.5399347415407393,24
wga,20230216,pa,2,-0.24862140253120513,0.4595422621004079,39
wga,20230216,pa,3,-0.3111930488287082,0.3694590116870711,65
wga,20230216,pa,4,-0.158740641700772,0.5889419433351374,77
wga,20230216,pa,5,0.11693178449270555,0.9858224742191413,95
wga,20230216,pa,6,-0.036672289721514185,0.7646815086105619,39
wga,20230216,pa,7,0.11078866121274535,0.9769783324154,122
wga,20230216,pea,0,-0.15988846066883333,0.5872894494397806,139
wga,20230216,pea,1,-0.26937946637116633,0.42965725869007126,82
wga,20230216,pea,2,-0.04972263428956471,0.7458931671289516,84
wga,20230216,pea,3,-0.1498171897669214,0.6017888732574609,71
