,mouse,treatment,vessel,roi,rep,alpha,c0,cr,k1,k2,r1,r2,alpha_std,c0_std,cr_std,k1_std,k2_std,r1_std,r2_std,I_plasma,I_plasma_std
0,208,No injection,1,1,1,0.4139732203328372,270.66945607867564,14.67507141278568,1.426052196245804,0.20413354612553128,0.7350590690552959,0.0745400846707021,0.0278364200398398,8.607432965318404,4.698168853520323,0.21002109260276608,0.011112014909841251,0.1080351661044376,0.0030329815253567,68.43748474121094,1.1116018133771777
1,317,No injection,1,1,1,0.6765504348373402,97.51152483177962,2.9911302247297185,0.5744099916118759,0.16840883601612502,0.6384451729964349,0.0898194747274906,0.0324524301674599,8.150637750783124,2.0095326147828585,0.07295332778285933,0.019989590685619965,0.0953846312931175,0.0070125048601028,36.06057357788086,0.9970508399029052
2,330,No injection,1,1,1,0.660116491843765,95.54668788574376,4.391747489720716,0.5957429800531592,0.04390728174854516,0.2911162867138619,0.0207844216226875,0.0145256589616891,2.770240908438063,1.2019307579114549,0.04854855588144342,0.003365382603325746,0.0212779683019116,0.0009257673433212,16.59933673469388,0.5568286804467105
3,330,No injection,1,1,2,0.4382563994317763,126.82439582907932,8.57033212159121,0.5995430452810567,0.12236560773569224,0.2302780199360207,0.0304466806995663,0.0164485424327272,1.3644989574167208,0.609718719536164,0.04335140070270164,0.007550425374600779,0.0166403871571451,0.0011328907054384,16.144500172950536,0.6043427915763461
4,504,Enzyme,1,1,1,0.5310910058848727,121.01552345308698,1.068060531683173,1.1056841771611825,0.32992448154562887,0.8607907677402024,0.1319221246060253,0.0362882863164647,5.569896781614626,1.4769058606810748,0.17225746814153664,0.029687298898226404,0.1513709924563956,0.0087071022624527,23.202072143554688,0.845208290407331
5,504,Enzyme,1,1,2,0.5718707917167268,133.8018353996051,4.335992839364457,1.247386939382721,0.38561497061886024,0.5846286152301579,0.0817725854136605,0.018459532085141,4.117424948116656,0.6513684629962972,0.10603800241169187,0.025328076507061807,0.0530021148224669,0.0028129785458854,13.976080417633057,0.5935417514953493
6,504,Enzyme,1,1,3,0.7997986020958626,66.80436134266225,2.8410362475462345,0.6470068457070093,0.11509138928865377,0.3507222638387304,0.0218899084014346,0.0111439440032796,1.6865060477052538,0.4851190676055189,0.049633764005896426,0.010148591249611018,0.0199003192624228,0.0019027604514242,11.28333330154419,0.6237553859496152
7,504,Enzyme,1,1,4,0.6294745773404192,96.74608643221656,3.61147578566948,1.2221712328374323,0.3697865176184349,0.8904185292720713,0.1070819383375542,0.0263065127720555,5.937066596018208,0.8639461772038491,0.13812284669863065,0.03366123555023941,0.115321524994985,0.0065371423907696,14.150996685028076,0.5621341751775728
8,505,No injection,1,2,1,0.4448875237404208,114.4419102804987,14.8974840862748,1.3897153193619352,0.17089705764511579,0.3903089302053278,0.0495856004681361,0.0226917667352936,1.488179190511814,1.2814884144569088,0.16760152229166303,0.009508582177735756,0.0440615097263629,0.0018438049346495,21.935714285714287,0.7947126989047838
9,505,No injection,1,3,1,0.5602801929347372,82.39487317715046,12.335165427620485,0.7191411111766388,0.14446189799281656,0.3400659572609275,0.0469154899386152,0.0294519493855356,1.7384519874535571,1.02369283648047,0.09334723500130242,0.011401656132243577,0.0450531472936442,0.0031062850845192,22.677777777777777,1.01579161474947
