,i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source
0,180.90182495117188,0.6440442977292058,Enzyme,20230504,pa,1.0,,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtypa_loc1_rep1_noterecovery_80x40.nc
1,183.3826904296875,0.7513892811926759,Enzyme,20230504,pa,1.0,,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtypa_loc1_rep1_noterecovery_80x40.nc
2,164.51351928710938,0.8133299669315228,Enzyme,20230504,pa,1.0,,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtypa_loc1_rep1_noterecovery_80x40.nc
3,159.63397216796875,0.7159218400202079,Enzyme,20230504,pa,1.0,,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtypa_loc1_rep1_noterecovery_80x40.nc
4,196.8757476806641,0.9015293499407192,Enzyme,20230504,pa,1.0,,0,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40.nc
5,187.91555786132807,0.8115964312479766,Enzyme,20230504,pa,1.0,,1,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40.nc
6,174.00299072265625,0.8487316020771098,Enzyme,20230504,pa,1.0,,2,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40.nc
7,165.2088623046875,1.0338960438465783,Enzyme,20230504,pa,1.0,,3,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40.nc
8,166.4932098388672,0.6923609808977078,Enzyme,20230504,pa,1.0,,0,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40_0001.nc
9,163.11314392089844,0.7036956543132389,Enzyme,20230504,pa,1.0,,1,2,1.0,0.0,yes,../../Glycocalyx_frap/20230504_Glx_B6_HAse/20230504_mouseb6_vtyppa_loc1_rep2_noterecovery_80x40_0001.nc
