,mouse,image,profile,vessel_type,vessel,region_in_vessel,repetition,i_max,fwhm,source_filename,treatment
119,20230510,0.0,0,pa,1.0,1,1,245.7124938964844,0.6722877023935491,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
120,20230510,0.0,1,pa,1.0,1,1,243.4041748046875,0.6773281539079293,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
121,20230510,0.0,2,pa,1.0,1,1,258.9875183105469,0.5756715332910669,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
122,20230510,0.0,3,pa,1.0,1,1,241.33334350585935,0.6352203389580153,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
123,20230510,0.0,4,pa,1.0,1,1,247.6374969482422,0.6307027629788908,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
124,20230510,0.0,5,pa,1.0,1,1,247.4583282470703,0.7245878263440381,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
125,20230510,0.0,6,pa,1.0,1,1,266.9916687011719,0.7541760513408589,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
126,20230510,0.0,7,pa,1.0,1,1,302.36248779296875,0.7025597879256621,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
127,20230510,0.0,8,pa,1.0,1,1,295.9124755859375,0.5596031026060214,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
128,20230510,0.0,9,pa,1.0,1,1,267.2833251953125,0.572508136957718,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
129,20230510,0.0,10,pa,1.0,1,1,319.5541687011719,0.5208799854048136,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
130,20230510,0.0,11,pa,1.0,1,1,298.3500061035156,0.5284151647100547,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
131,20230510,0.0,12,pa,1.0,1,1,272.39166259765625,0.5967683787362255,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
132,20230510,0.0,13,pa,1.0,1,1,237.75833129882807,0.6648980382990035,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
133,20230510,0.0,14,pa,1.0,1,1,257.8374938964844,0.6978648927054281,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,Enzyme
